text,emotion
I feel very happy today,happy
I am feeling joyful,happy
Today is a great day,happy
I feel excited about my future,happy
I am smiling a lot today,happy
Everything is going well,happy
I feel positive and energetic,happy
I am satisfied with my life,happy
I feel relaxed and cheerful,happy
I am proud of myself,happy
I enjoyed my day,happy
I am feeling good,happy
I feel motivated,happy
I am feeling awesome,happy
Life feels beautiful,happy
I am calm and happy,happy
I feel confident,happy
I am enjoying everything,happy
I feel blessed,happy
I am in a good mood,happy

I feel sad today,sad
I am feeling lonely,sad
I feel depressed,sad
Nothing feels right,sad
I am feeling low,sad
I feel hopeless,sad
I am crying inside,sad
I feel empty,sad
I am very upset,sad
I feel disappointed,sad
I am unhappy today,sad
Life feels dull,sad
I feel emotional pain,sad
I am feeling broken,sad
I feel tired of everything,sad
I am feeling down,sad
I feel miserable,sad
I feel heartbroken,sad
I feel sad and alone,sad
I am mentally low,sad

I am stressed due to work,stressed
I feel pressure from exams,stressed
I am mentally exhausted,stressed
I feel overloaded,stressed
I am worried about my future,stressed
I feel anxious,stressed
I am under lot of pressure,stressed
I feel tense,stressed
I am stressed and tired,stressed
I cannot relax,stressed
I feel burdened,stressed
I feel overwhelmed,stressed
I am stressed with responsibilities,stressed
I feel burnout,stressed
My mind is not calm,stressed
I feel pressure all the time,stressed
I am stressed mentally,stressed
I feel restless,stressed
I am struggling with stress,stressed
I feel nervous,stressed

I feel angry right now,angry
I am very frustrated,angry
I feel irritated,angry
I am mad at everything,angry
I feel annoyed,angry
I am furious,angry
I feel rage inside,angry
I am angry with people,angry
I feel aggressive,angry
I am upset and angry,angry
I feel irritated today,angry
I feel angry and stressed,angry
I am shouting in anger,angry
I feel mad today,angry
I am losing my temper,angry
I feel anger building up,angry
I am annoyed by everyone,angry
I feel hostile,angry
I feel angry emotionally,angry
I am full of anger,angry

Everything feels normal,neutral
I feel okay,neutral
Nothing special today,neutral
I am fine,neutral
I feel average,neutral
Today is normal,neutral
I feel balanced,neutral
Nothing unusual,neutral
I feel stable,neutral
I am doing okay,neutral
I feel neither happy nor sad,neutral
I feel calm,neutral
I am neutral today,neutral
I feel steady,neutral
I feel usual,neutral
I am feeling normal,neutral
No strong emotions,neutral
I feel alright,neutral
I am emotionally neutral,neutral
I feel fine today,neutral

I feel cheerful and relaxed today,happy
I woke up feeling positive,happy
My mood is very good today,happy
I feel light and happy,happy
I am feeling mentally peaceful,happy
I feel excited about today,happy
I feel fresh and motivated,happy
I am happy with how things are going,happy
I feel emotionally strong today,happy
I feel optimistic,happy
I feel content with myself,happy
I am enjoying my time,happy
I feel hopeful and happy,happy
I feel satisfied and relaxed,happy
I am in a cheerful mood,happy
I feel mentally calm and happy,happy
I feel joy inside me,happy
I feel happy and relaxed right now,happy
I am feeling positive vibes,happy
I feel emotionally fulfilled,happy

I feel very low today,sad
I feel emotionally drained,sad
I feel unhappy and tired,sad
I feel lonely and ignored,sad
I am feeling mentally weak,sad
I feel sadness inside me,sad
I am feeling emotionally broken,sad
I feel dull and sad today,sad
I feel like crying,sad
I feel lost and sad,sad
I feel emotionally hurt,sad
I feel disappointed in myself,sad
I feel sadness all around,sad
I am feeling emotionally empty,sad
I feel gloomy today,sad
I feel down and unhappy,sad
I feel mentally upset,sad
I feel sadness in my heart,sad
I feel lonely and low,sad
I feel emotionally tired and sad,sad

I feel stressed from daily work,stressed
I feel pressure building up,stressed
I feel mentally pressured today,stressed
I feel stressed and anxious,stressed
I feel workload stress,stressed
I am feeling mentally tense,stressed
I feel uneasy and stressed,stressed
I feel overwhelmed with tasks,stressed
I feel stress in my mind,stressed
I feel mentally overloaded today,stressed
I feel exam stress,stressed
I feel work pressure constantly,stressed
I feel mentally disturbed due to stress,stressed
I feel stressed and restless,stressed
I feel anxiety and stress together,stressed
I feel mentally pressured right now,stressed
I feel stressed about responsibilities,stressed
I feel constant pressure,stressed
I feel tense and stressed today,stressed
I feel burnout from work,stressed

I feel angry at people,angry
I feel frustrated with situations,angry
I feel irritated right now,angry
I feel anger inside me,angry
I feel annoyed and angry,angry
I feel furious today,angry
I feel aggressive emotions,angry
I feel upset and irritated,angry
I feel anger rising,angry
I feel mad and angry,angry
I feel irritated by small things,angry
I feel anger due to stress,angry
I feel annoyed mentally,angry
I feel frustrated and angry today,angry
I feel angry and irritated today,angry
I feel rage building up inside,angry
I feel emotionally angry,angry
I feel annoyed with everyone today,angry
I feel angry at myself,angry
I feel uncontrollable anger,angry

I feel completely normal today,neutral
I feel emotionally balanced,neutral
I feel nothing special,neutral
I feel fine and normal,neutral
I feel okay mentally,neutral
I feel average today,neutral
I feel calm and normal,neutral
I feel steady and okay,neutral
